更新日時,全体,大阪府,京都府,兵庫県,奈良県,滋賀県,和歌山県,福井県,岐阜県,三重県
2022/02/11 12:18,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:18,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:18,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:27,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:27,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:27,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:27,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:33,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:48,10,0,0,0,0,0,10,0,0,0
2022/02/11 12:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 15:27,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:36,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 16:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:09,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:15,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:21,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:36,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:48,10,0,0,0,0,0,10,0,0,0
2022/02/11 17:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:09,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:15,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:21,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:36,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 18:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:09,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:15,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:21,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:36,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 19:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:09,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:15,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:21,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:36,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 20:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:09,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:15,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:21,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:24,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:30,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:39,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:45,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:51,10,0,0,0,0,0,10,0,0,0
2022/02/11 21:54,10,0,0,0,0,0,10,0,0,0
2022/02/11 22:00,10,0,0,0,0,0,10,0,0,0
2022/02/11 22:06,10,0,0,0,0,0,10,0,0,0
2022/02/11 22:09,10,0,0,0,0,0,10,0,0,0
